Name,BundleID,Icon
Aktien,com.apple.stocks,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/903deff89ddd59acfbd8c6caab55a1bb.png"
App Store,com.apple.AppStore,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/96426e514e8d7a61582484074bcc45b8.png"
Apple Store,com.apple.store.Jolly,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/b2881b6dc934a86e35cabd5b1cea04d7.png"
Bücher,com.apple.iBooks,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/c88fa9ecbb6675a159f41495bb32828e.png"
Clips,com.apple.clips,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/db4a600f94b01081bc7465360d1224d4.png"
Code-Scanner,com.apple.BarcodeScanner,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/6d763bf7333100d4169805acf48af972.png"
Dateien,com.apple.DocumentsApp,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/bbba03c60b17e15b9b3965610bb5113d.png"
Einladungen,com.apple.rsvp,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/21ec289aed65b5b3fc1141aa126b4b6e.png"
Einstellungen,com.apple.Preferences,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/d30a5c899b4d74d638b75344df55241f.png"
Entwicklungsteam,developer.apple.wwdc-Release,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/5053f7e86ca80433daf81d6db7e3be94.png"
Erinnerungen,com.apple.reminders,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/b00f84807218a0d62cb0929f521c2516.png"
FaceTime,com.apple.facetime,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/41f9ab48e1f232a876c8151d5ac0f624.png"
Fitness,com.apple.Fitness,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/a4f03fe8b7b21fa3160be027c203ed91.png"
Fotos,com.apple.mobileslideshow,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/98c461003313f2eba5a8e22b1c0645b3.png"
Freiform,com.apple.freeform,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/2d4becfdf775f986b72c5aeabf88785c.png"
GarageBand,com.apple.mobilegarageband,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/0f841429c6c8ee40503d92a613ae39bf.png"
Health,com.apple.Health,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/b0b0ac1b1c7d6b411c5e8c61ef41aa87.png"
Home,com.apple.Home,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/01ef17ed118fde0508f256c8c7de5468.png"
iCloud Drive,com.apple.iCloudDriveApp,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/c396f6a8b5dbddb3c16305d09dc50bf0.png"
Image Playground,com.apple.GenerativePlaygroundApp,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/a4e9cfb76cffda764ffd42814f24ad84.png"
iMovie,com.apple.iMovie,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/047cd8cc1ee8e11e23526c4e13d36b83.png"
iTunes Store,com.apple.MobileStore,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/fc84d3f76f5e4c994a31a19bb20f8024.png"
Journal,com.apple.journal,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/6fbb5e5edde48d5f12f870d5b2a51441.png"
Kalender,com.apple.mobilecal,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/9577553520c4b0d9b4a92e5d2e2e5eb8.png"
Kamera,com.apple.camera,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/852af75bbc61abf8ee80521e6e720a53.png"
Karten,com.apple.Maps,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/21e8c59cd2f31008048b15875a0abc56.png"
Keynote,com.apple.Keynote,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/99dec81ae642515ae23dda1df9ccf473.png"
Kompass,com.apple.compass,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/9b0fd77dd7bb2fd155a3105ae207c5cf.png"
Kontakte,com.apple.MobileAddressBook,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/ed7c13771c0469d2ac8c43e15290f96e.png"
Kurzbefehle,com.apple.shortcuts,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/4df05abf5b188d68885bccb1bcf2850f.png"
Lupe,com.apple.Magnifier,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/3f46f04e5802f10fc0b0e8ec05a7a84a.png"
Mail,com.apple.mobilemail,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/aa62abf5cc9d0835a2c78f52d57361d1.png"
Maßband,com.apple.measure,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/63fa68e20397e9b04963deaaceed64fe.png"
Musik,com.apple.Music,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/a694b0a32b8247797c9e95952f4e5df1.png"
Nachrichten,com.apple.MobileSMS,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/badc9485650ffe05e65b87247c1104e7.png"
News,com.apple.news,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/5902d4f959872384818a58ca6a1ae6d2.png"
Notizen,com.apple.mobilenotes,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/c0b2e5615a23beca598e9a389f2a8299.png"
Numbers,com.apple.Numbers,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/1ad975d8d6d73976f28bd2989ff623e6.png"
Pages,com.apple.Pages,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/df93cc9c0b4eca27c6bda3ad27050405.png"
Passwörter,com.apple.Passwords,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/ff86901fcd5b91cc329ec9162f4c8b20.png"
Photo Booth,com.apple.Photo-Booth,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/1f342434cb220654d752fc7e1a89c047.png"
Podcasts,com.apple.podcasts,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/aa0d7270566902790647a2d674334fbb.png"
Rechner,com.apple.calculator,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/7c97cffba40e56cf9e2ccde17c2fbc3a.png"
Safari,com.apple.mobilesafari,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/164477f6e7625112669ec4331fe37ed6.png"
Sprachmemos,com.apple.VoiceMemos,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/34348da8f13ef5e7bcccd7f7603681b2.png"
Swift Playgrounds,com.apple.Playgrounds,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/5fbf9f6dd414b51b287b39b6187e6a99.png"
Telefon,com.apple.mobilephone,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/4b79edee58737b87ad81195e6f3dd4da.png"
Tipps,com.apple.tips,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/9cf29cf7a2549bbda39f06f3c2ea7001.png"
TV,com.apple.tv,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/8e6906b1c11f413896b408e665fc0471.png"
Übersetzen,com.apple.Translate,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/4b5d59237c84dd7436631525e8a6a3e4.png"
Uhr,com.apple.mobiletimer,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/b14f3d8973d3ca1bfa9d5ea4027f63bb.png"
Wallet,com.apple.Passbook,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/226f3fa27b98e21cbfc3bcfb1567e5f5.png"
Watch,com.apple.Bridge,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/88bbdf6763f0a0824b3ff636dd757e17.png"
Wetter,com.apple.weather,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/6d6a684739e9f5f4e6fa917443006680.png"
Wo ist?,com.apple.findmy,"https://help.apple.com/assets/67EF090B19A46CB76A0AD621/67EF090FD48079505B0B4F84/de_DE/517f23fce6cb0ce5aa8c36bfa5cf5ce3.png"
